appName,link,tags
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_7000_150_1,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
Only Up!,https://store.steampowered.com/app/2381590/Only_Up/?snr=1_7_7_7000_150_1,"3D Platformer,Parkour,Difficult,Casual,Bullet Time,Adventure,Open World,Third Person,Physics,Psychological Horror,Exploration,Platformer,Story Rich,Arcade,Replay Value,Atmospheric,Roguelike,Cinematic,Simulation,Surreal"
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_1,"Early Access,Open World,Survival,Base Building,Vampire,Multiplayer,Crafting,PvP,PvE,Online Co-Op,Building,Hack and Slash,Sandbox,Exploration,Massively Multiplayer,Action,Action-Adventure,Singleplayer,Adventure,Dark Fantasy"
Contraband Police,https://store.steampowered.com/app/756800/Contraband_Police/?snr=1_7_7_7000_150_1,"Open World,Action,First-Person,Multiple Endings,1980s,Realistic,Automobile Sim,Simulation,Singleplayer,Story Rich,FPS,Survival,Action-Adventure,Management,Immersive Sim,Detective,Physics,Destruction,Atmospheric,Indie"
Warspear Online,https://store.steampowered.com/app/326360/Warspear_Online/?snr=1_7_7_7000_150_1,"Free to Play,MMORPG,Pixel Graphics,Massively Multiplayer,RPG,Multiplayer,Online Co-Op,Difficult,Retro,Fantasy,Atmospheric,PvP,2D,Adventure,Story Rich,Open World"
Squad,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_7000_150_1,"Military,Realistic,FPS,Multiplayer,Team-Based,Tactical,Shooter,War,First-Person,Action,Massively Multiplayer,Strategy,Modern,Base Building,Simulation,Wargame,Open World,Immersive Sim,Atmospheric,PvP"
Terraria,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_7000_150_1,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
STALCRAFT,https://store.steampowered.com/app/1818450/STALCRAFT/?snr=1_7_7_7000_150_1,"Free to Play,FPS,Action,MMORPG,Adventure,Shooter,Atmospheric,First-Person,Looter Shooter,Horror,RPG,PvP,Massively Multiplayer,Combat,Tactical,Story Rich,Team-Based,Alternate History,Multiplayer,PvE"
BeamNG.drive,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_7000_150_1,"Simulation,Driving,Physics,Destruction,Realistic,Automobile Sim,Open World,Sandbox,Racing,Moddable,Singleplayer,Multiplayer,Early Access,First-Person,Third Person,Exploration,Funny,Action,Adventure,Flight"
DayZ,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_7000_150_1,"Survival,Zombies,Multiplayer,Open World,Action,PvP,Shooter,Massively Multiplayer,Horror,Post-apocalyptic,Simulation,FPS,Early Access,First-Person,Survival Horror,Sandbox,Adventure,Co-op,Atmospheric,Indie"
Human: Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_7000_150_1,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
ASTRONEER,https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_7_7_7000_150_1,"Multiplayer,Open World,Open World Survival Craft,Space,Survival,Exploration,Base Building,Co-op,Sandbox,Adventure,Building,Crafting,Sci-fi,Automation,Singleplayer,Colorful,Third Person,Atmospheric,Simulation,Indie"
NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1,"Battle Royale,Multiplayer,Martial Arts,PvP,Female Protagonist,Action,Third Person,Survival,Character Customization,Hack and Slash,Massively Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free to Play"
Hunt: Showdown,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_7000_150_1,"Open World,Tactical,Atmospheric,Multiplayer,Perma Death,FPS,Shooter,PvP,Survival Horror,Horror,Difficult,Online Co-Op,Western,Co-op,Battle Royale,Team-Based,Action,Gore,Zombies,First-Person"
Barotrauma,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_7000_150_1,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Underwater,Simulation,Horror,Sci-fi,Management,Strategy,Action,Difficult,Gore,Moddable,Violent,Singleplayer,Early Access,Naval"
